pid,code,A/C,M/F,duration,engagement_score,norm_engagement_score,engagement_level
0,"['Approach', 'None']",Child,Female,5680,3.52112676056338,6.341145877943407,mid
1,"['Approach', 'None']",Child,Female,11840,3.533783783783784,6.372980862156244,mid
2,"['Approach', 'None']",Child,Male,24840,3.6280193236714977,6.61000238549338,mid
3,"['Approach', 'None']",Child,Male,12280,3.517915309446254,6.333068426094445,mid
4,['Pass'],Child,Male,21040,1.0,0.0,low
5,"['Approach', 'None']",Child,Male,11920,3.651006711409396,6.667820334705219,mid
6,['Pass'],Child,Male,6560,1.0,0.0,low
7,['Pass'],Adult,Male,19440,1.0,0.0,low
8,"['Approach', 'None']",Adult,Female,25120,3.656050955414013,6.680507632931376,mid
9,"['Approach', 'None']",Adult,Female,12640,3.5253164556962027,6.351683812186508,mid
10,['Pass'],Adult,Female,6640,1.0,0.0,low
11,['Pass'],Adult,Female,11760,1.0,0.0,low
12,['Pass'],Adult,Female,12200,1.0,0.0,low
13,"['Approach', 'None']",Adult,Female,20400,3.662745098039216,6.697344761305154,mid
14,['Pass'],Adult,Male,19400,1.0,0.0,low
15,['Pass'],Adult,Female,11520,1.0,0.0,low
16,"['Approach', 'None']",Adult,Female,26160,3.801223241590214,7.045645419129849,mid
17,['Pass'],Child,Male,12240,1.0,0.0,low
18,"['Approach', 'None']",Child,Male,12480,3.5961538461538463,6.529854237224707,mid
19,"['Approach', 'None']",Child,Male,28400,3.6732394366197183,6.723740154377983,mid
20,"['Approach', 'None']",Child,Male,17680,3.800904977375566,7.04484491998622,mid
21,"['Approach', 'None']",Child,Male,6960,3.137931034482759,5.377330794588112,mid
22,"['Approach', 'None']",Child,Male,26240,3.667682926829269,6.709764403652308,mid
23,"['Approach', 'None']",Adult,Female,17680,3.3122171945701355,5.815695887096863,mid
24,"['Approach', 'Touch', 'None', 'Gesture']",Adult,Female,15200,4.336842105263158,8.392835652741681,high
25,"['Approach', 'None', 'None']",Adult,Female,57600,3.858333333333333,7.189288899699991,mid
26,"['Approach', 'None']",Adult,Female,17760,3.855855855855856,7.183057540634773,mid
27,"['Approach', 'Touch', 'None']",Adult,Female,10320,4.162790697674419,7.9550610104484285,mid
28,"['Approach', 'None', 'Touch', 'None', 'None', 'Touch', 'None', 'Touch']",Adult,Female,128520,3.824774354186119,7.104881250859759,mid
29,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",Child,Male,34240,4.0607476635514015,7.698402053301262,mid
30,"['Approach', 'None', 'Touch', 'None']",Child,Female,48960,3.3366013071895426,5.877026883079512,mid
31,"['Approach', 'None']",Child,Male,36720,3.261437908496732,5.687975668658771,mid
32,['Pass'],Child,Female,12320,1.0,0.0,low
33,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None']",Child,Female,63920,4.212765957446809,8.080758939430797,high
34,['Follow'],Child,Female,15280,2.0,2.515203113597665,low
35,['Avoid'],Child,Female,15440,2.0,2.515203113597665,low
36,['Follow'],Child,Female,8240,2.0,2.515203113597665,low
37,"['Avoid', 'None']",Child,Female,20400,3.2980392156862743,5.780035390463652,mid
38,"['Follow', 'None']",Child,Female,12640,2.632911392405063,4.107103818406313,mid
39,"['Approach', 'Gesture', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None']",Child,Female,88160,4.351179673321234,8.428897548562771,high
40,['Follow'],Child,Female,34480,2.0,2.515203113597665,low
41,"['Avoid', 'None']",Child,Female,18680,3.147751605995717,5.402031526634813,mid
42,['Pass'],Adult,Male,12240,1.0,0.0,low
43,['Pass'],Adult,Male,14400,1.0,0.0,low
44,"['Approach', 'Gesture', 'None']",Adult,Male,91080,3.96354852876592,7.453926486849821,mid
45,['Follow'],Adult,Male,37920,2.0,2.515203113597665,low
46,"['Avoid', 'None', 'Touch']",Adult,Male,22000,3.6763636363636367,6.7315981513013865,mid
