,code,duration,predicted_engagement_levels
0,"['Approach', 'None']","[2720, 2960]",high
1,"['Approach', 'None']","[5520, 6320]",high
2,"['Approach', 'None', 'Approach', 'None']","[9240, 15600, 5920, 6360]",high
3,"['Approach', 'None']","[4160, 7760]",high
4,"['Approach', 'None', 'Approach', 'None']","[8640, 16480, 6000, 6640]",high
5,"['Approach', 'None']","[6880, 13520]",high
6,"['Approach', 'None', 'Approach', 'None']","[5040, 7440, 9280, 19120]",high
7,"['Approach', 'None']","[3520, 14160]",high
8,"['Approach', 'None']","[6000, 960]",high
9,"['Approach', 'None']","[8720, 17520]",high
10,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Gesture']","[12160, 5520, 3120, 3280, 3840, 4960]",low
11,"['Approach', 'None', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None']","[8160, 34160, 15280, 2560, 15200, 1280, 2960, 6080]",low
12,"['Approach', 'None', 'Touch', 'None']","[40680, 18880, 4720, 39040]",high
13,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[5920, 4720, 1280, 3600, 6720, 12000]",high
14,"['Approach', 'None', 'Touch', 'None']","[36400, 5440, 3920, 3200]",high
15,"['Approach', 'None']","[27120, 9600]",high
16,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None', 'Follow', 'Avoid', 'Follow']","[9760, 14480, 13840, 7520, 9520, 8800, 15280, 15440, 8240]",low
17,"['Approach', 'Gesture', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None']","[8080, 1760, 2560, 2320, 3040, 16160, 5680, 4320, 19200, 10000, 7040, 8000]",low
18,"['Approach', 'Gesture', 'None']","[8480, 5160, 77440]",low
19,"['Approach', 'None']","[10160, 45040]",high
20,"['Approach', 'None']","[5200, 7600]",high
21,"['Approach', 'None']","[7680, 6480]",high
22,"['Approach', 'Gesture']","[5360, 3360]",low
23,"['Approach', 'Gesture']","[3520, 3120]",low
24,"['Approach', 'None']","[17520, 10720]",high
25,"['Approach', 'Touch', 'Gesture']","[17840, 5120, 1200]",low
26,"['Approach', 'Gesture']","[3800, 2480]",low
27,"['Approach', 'None']","[9280, 16000]",high
28,"['Approach', 'None', 'Gesture', 'None']","[7680, 800, 3920, 3840]",high
29,"['Approach', 'None', 'Gesture']","[9120, 6080, 2880]",high
30,"['Approach', 'Gesture', 'None', 'Gesture']","[4400, 2000, 6160, 4240]",low
31,"['Approach', 'Gesture', 'None']","[10560, 13080, 5360]",low
32,"['Approach', 'Gesture']","[5760, 4960]",low
33,"['Approach', 'None']","[3200, 1920]",high
34,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Follow']","[10000, 1600, 2320, 11120, 2560, 29520, 12240]",low
35,"['Approach', 'None', 'Gesture']","[9040, 5280, 4000]",high
36,"['Approach', 'None', 'Follow']","[7280, 47840, 11680]",high
37,"['Approach', 'None']","[4000, 4240]",high
38,"['Approach', 'None', 'Touch']","[9760, 3040, 10280]",high
39,"['Approach', 'None', 'Follow']","[5520, 19920, 11280]",high
40,"['Approach', 'None']","[11280, 17120]",high
41,"['Approach', 'None']","[7200, 24240]",high
42,"['Approach', 'None', 'Follow']","[8880, 65440, 10000]",high
43,"['Approach', 'None']","[8560, 5520]",high
44,"['Approach', 'None']","[11120, 1600]",high
45,"['Approach', 'None', 'Gesture', 'None']","[7760, 8400, 4400, 6160]",high
46,"['Approach', 'Avoid', 'Follow', 'Avoid', 'Approach', 'None', 'Touch', 'None']","[4080, 6240, 10480, 4560, 12800, 5200, 7120, 2080]",low
47,"['Follow', 'None', 'Approach', 'None', 'Touch', 'None']","[5680, 8480, 6000, 1440, 6320, 14960]",low
48,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None']","[7760, 5200, 3440, 1920, 3040, 35960, 3840, 40000, 4640, 45920, 6560, 3360, 13360, 5760, 3200, 6080, 1800, 25920]",low
49,"['Approach', 'Avoid', 'None']","[12240, 3680, 5120]",low
50,"['Follow', 'Approach', 'None', 'Touch', 'None']","[8640, 7600, 1520, 11120, 10480]",low
51,"['Approach', 'None']","[6880, 20640]",high
52,"['Approach', 'None']","[3520, 3040]",high
53,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Gesture', 'None']","[2320, 11200, 5440, 2720, 6000, 2400, 3680, 6120, 600, 2480, 47400]",low
54,"['Approach', 'None', 'Approach', 'Touch']","[3040, 5680, 4160, 2880]",high
55,"['Approach', 'Touch']","[6320, 2960]",low
56,"['Approach', 'None', 'Touch']","[3200, 2880, 4000]",high
57,"['Approach', 'Touch']","[5680, 2200]",low
58,"['Approach', 'None', 'Approach', 'None']","[7920, 8160, 4240, 6320]",high
