,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_level,encoded_code,duration_sum
0,"['Approach', 'None']",2,"[3, 4]","[2720, 2960]","[0.4788732394366197, 0.5211267605633803]",Child,Female,"포니테일, 아이보리색 점퍼, 검정색 바지",low,8400000000000000000000,5680
1,"['Approach', 'None']",2,"[3, 4]","[5520, 6320]","[0.46621621621621623, 0.5337837837837838]",Child,Female,"포니테일, 아이보리색 점퍼, 검정색 바지",low,8400000000000000000000,11840
2,"['Approach', 'None']",2,"[3, 4]","[9240, 15600]","[0.3719806763285024, 0.6280193236714976]",Child,Male,"검정색 점퍼, 청바지, 검정/흰색 운동화",low,8400000000000000000000,24840
3,"['Approach', 'None']",2,"[3, 4]","[5920, 6360]","[0.4820846905537459, 0.5179153094462541]",Child,Male,"검정색 점퍼, 청바지, 검정/흰색 운동화",low,8400000000000000000000,12280
4,"['Approach', 'None']",2,"[3, 4]","[4160, 7760]","[0.348993288590604, 0.6510067114093959]",Child,Male,"검정 마스크, 흰색 후리스, 회색 트레이닝 바지",low,8400000000000000000000,11920
5,"['Approach', 'None']",2,"[3, 4]","[8640, 16480]","[0.34394904458598724, 0.6560509554140127]",Adult,Female,"검정 핸드백, 흰색 점퍼, 아이보리색 바지",low,8400000000000000000000,25120
6,"['Approach', 'None']",2,"[3, 4]","[6000, 6640]","[0.47468354430379744, 0.5253164556962026]",Adult,Female,"검정 핸드백, 흰색 점퍼, 아이보리색 바지",low,8400000000000000000000,12640
7,"['Approach', 'None']",2,"[3, 4]","[6880, 13520]","[0.33725490196078434, 0.6627450980392157]",Adult,Female,"초록색 맨투맨, 검정 바지",low,8400000000000000000000,20400
8,"['Approach', 'None']",2,"[3, 4]","[5200, 20960]","[0.19877675840978593, 0.8012232415902141]",Adult,Female,"검정색 롱코트, 연두색 후리스 입은 아이와 동행",low,8400000000000000000000,26160
9,"['Approach', 'None']",2,"[3, 4]","[5040, 7440]","[0.40384615384615385, 0.5961538461538461]",Child,Male,"연두색 후리스, 흰색 바지",low,8400000000000000000000,12480
10,"['Approach', 'None']",2,"[3, 4]","[9280, 19120]","[0.3267605633802817, 0.6732394366197183]",Child,Male,"연두색 후리스, 흰색 바지",low,8400000000000000000000,28400
11,"['Approach', 'None']",2,"[3, 4]","[3520, 14160]","[0.19909502262443438, 0.8009049773755657]",Child,Male,"연두색 후리스, 흰색 바지",low,8400000000000000000000,17680
12,"['Approach', 'None']",2,"[3, 4]","[6000, 960]","[0.8620689655172413, 0.13793103448275862]",Child,Male,"검정색 마스크, 회색 맨투맨, 회색 트레이닝 바지",low,8400000000000000000000,6960
13,"['Approach', 'None']",2,"[3, 4]","[8720, 17520]","[0.3323170731707317, 0.6676829268292683]",Child,Male,"검정색 마스크, 회색 맨투맨, 회색 트레이닝 바지",low,8400000000000000000000,26240
14,"['Approach', 'None']",2,"[3, 4]","[12160, 5520]","[0.6877828054298643, 0.31221719457013575]",Adult,Female,"검정 크로스백, 회색 맨투맨, 검정색 바지",low,8400000000000000000000,17680
15,"['Approach', 'Touch', 'None', 'Gesture']",4,"[3, 5, 4, 5]","[3120, 3280, 3840, 4960]","[0.20526315789473684, 0.21578947368421053, 0.25263157894736843, 0.3263157894736842]",Adult,Female,"검정 크로스백, 회색 맨투맨, 검정색 바지",high,8241000000000000000000,15200
16,"['Approach', 'None', 'None']",3,"[3, 4, 4]","[8160, 34160, 15280]","[0.14166666666666666, 0.5930555555555556, 0.2652777777777778]",Adult,Female,"검정 크로스백, 회색 맨투맨, 검정색 바지",low,8440000000000000000000,57600
17,"['Approach', 'None']",2,"[3, 4]","[2560, 15200]","[0.14414414414414414, 0.8558558558558559]",Adult,Female,"검정 크로스백, 회색 맨투맨, 검정색 바지",low,8400000000000000000000,17760
18,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[1280, 2960, 6080]","[0.12403100775193798, 0.2868217054263566, 0.5891472868217055]",Adult,Female,"검정 크로스백, 회색 맨투맨, 검정색 바지",high,8240000000000000000000,10320
19,"['Approach', 'None', 'Touch', 'None', 'None', 'Touch', 'None', 'Touch']",8,"[3, 4, 5, 4, 4, 5, 4, 5]","[40680, 18880, 4720, 39040, 9280, 7440, 2480, 6000]","[0.3165266106442577, 0.14690320572673513, 0.03672580143168378, 0.30376595082477437, 0.07220666044195456, 0.05788982259570495, 0.019296607531901648, 0.04668534080298786]",Adult,Female,"초록색 맨투맨, 검정 바지",low,8424424200000000000000,128520
20,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[5920, 4720, 1280, 3600, 6720, 12000]","[0.17289719626168223, 0.1378504672897196, 0.037383177570093455, 0.10514018691588785, 0.19626168224299065, 0.35046728971962615]",Child,Male,"검정색 맨투맨, 검정색 바지, 흰색 운동화",high,8424240000000000000000,34240
21,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[36400, 5440, 3920, 3200]","[0.7434640522875817, 0.1111111111111111, 0.08006535947712418, 0.06535947712418301]",Child,Female,"포니테일, 아이보리색 점퍼, 검정색 바지",low,8424000000000000000000,48960
22,"['Approach', 'None']",2,"[3, 4]","[27120, 9600]","[0.738562091503268, 0.26143790849673204]",Child,Male,"검정색 점퍼, 청바지, 검정/흰색 운동화",low,8400000000000000000000,36720
23,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None']",6,"[3, 4, 5, 4, 5, 4]","[9760, 14480, 13840, 7520, 9520, 8800]","[0.15269086357947434, 0.2265331664580726, 0.2165206508135169, 0.11764705882352941, 0.14893617021276595, 0.1376720901126408]",Child,Female,"연보라색 조끼, 검정 바지",high,8424140000000000000000,63920
26,"['Approach', 'Gesture', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None']",12,"[3, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 4]","[8080, 1760, 2560, 2320, 3040, 16160, 5680, 4320, 19200, 10000, 7040, 8000]","[0.09165154264972777, 0.019963702359346643, 0.029038112522686024, 0.02631578947368421, 0.034482758620689655, 0.18330308529945555, 0.06442831215970962, 0.04900181488203267, 0.2177858439201452, 0.11343012704174228, 0.07985480943738657, 0.09074410163339383]",Child,Female,"베이지색 조끼, 흰색 상의, 크로스백",high,8141241424140000000000,88160
28,"['Approach', 'Gesture', 'None']",3,"[3, 5, 4]","[8480, 5160, 77440]","[0.09310496267018006, 0.05665349143610013, 0.8502415458937198]",Adult,Male,"검정색 상의, 검정색 바지",low,8140000000000000000000,91080
30,"['Approach', 'None']",2,"[3, 4]","[10160, 45040]","[0.18405797101449275, 0.8159420289855073]",Adult,Female,"단발 머리, 검정색 롱 코트",low,8400000000000000000000,55200
32,"['Approach', 'None']",2,"[3, 4]","[5200, 7600]","[0.40625, 0.59375]",Child,Male,"초록색 점퍼, 청바지",low,8400000000000000000000,12800
33,"['Approach', 'None']",2,"[3, 4]","[7680, 6480]","[0.5423728813559322, 0.4576271186440678]",Child,Male,"검정색 점퍼, 갈색 바지",low,8400000000000000000000,14160
34,"['Approach', 'Gesture']",2,"[3, 5]","[5360, 3360]","[0.6146788990825688, 0.3853211009174312]",Adult,Female,"흰색 머리띠, 초록색 크로스백, 흰색 후리스, 청바지",low,8100000000000000000000,8720
35,"['Approach', 'Gesture']",2,"[3, 5]","[3520, 3120]","[0.5301204819277109, 0.46987951807228917]",Child,Male,"검정색 점퍼, 회색 바지, 흰색 운동화",low,8100000000000000000000,6640
36,"['Approach', 'None']",2,"[3, 4]","[17520, 10720]","[0.6203966005665722, 0.37960339943342775]",Adult,Female,"흰색 머리띠, 초록색 크로스백, 흰색 후리스, 청바지",low,8400000000000000000000,28240
37,"['Approach', 'Touch', 'Gesture']",3,"[3, 5, 5]","[17840, 5120, 1200]","[0.7384105960264901, 0.2119205298013245, 0.04966887417218543]",Child,Male,"검정색 점퍼, 회색 바지, 흰색 운동화",low,8210000000000000000000,24160
38,"['Approach', 'Gesture']",2,"[3, 5]","[3800, 2480]","[0.6050955414012739, 0.39490445859872614]",Child,Male,"흰색 점퍼, 빨간색 바지",low,8100000000000000000000,6280
39,"['Approach', 'None']",2,"[3, 4]","[9280, 16000]","[0.3670886075949367, 0.6329113924050633]",Adult,Male,"안경, 크로스백, 검정색 상의, 검정색 바지",low,8400000000000000000000,25280
40,"['Approach', 'None', 'Gesture', 'None']",4,"[3, 4, 5, 4]","[7680, 800, 3920, 3840]","[0.4729064039408867, 0.04926108374384237, 0.2413793103448276, 0.23645320197044334]",Adult,Female,"초록색 모자, 빨간색 크로스백, 흰색 후리스",low,8414000000000000000000,16240
41,"['Approach', 'None', 'Gesture', 'Gesture']",4,"[3, 4, 5, 5]","[9120, 6080, 2880, 3680]","[0.41911764705882354, 0.27941176470588236, 0.1323529411764706, 0.16911764705882354]",Child,Female,"검정색 점퍼, 분홍색 상의",low,8411000000000000000000,21760
42,"['Approach', 'Gesture', 'None', 'Gesture']",4,"[3, 5, 4, 5]","[4400, 2000, 6160, 4240]","[0.2619047619047619, 0.11904761904761904, 0.36666666666666664, 0.2523809523809524]",Child,Male,"검정색 후드, 흰색 상의",high,8141000000000000000000,16800
43,"['Approach', 'Gesture', 'None']",3,"[3, 5, 4]","[10560, 13080, 5360]","[0.3641379310344828, 0.4510344827586207, 0.18482758620689654]",Child,Male,"검정색 후드, 흰색 상의",high,8140000000000000000000,29000
44,"['Approach', 'Gesture']",2,"[3, 5]","[5760, 4960]","[0.5373134328358209, 0.4626865671641791]",Child,Male,"검정색 후드, 흰색 상의",low,8100000000000000000000,10720
45,"['Approach', 'None']",2,"[3, 4]","[3200, 1920]","[0.625, 0.375]",Child,Female,"양갈래 머리, 하늘색 가방, 흰색 상의, 회색 바지",low,8400000000000000000000,5120
46,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[10000, 1600, 2320, 11120, 2560, 29520]","[0.17507002801120447, 0.028011204481792718, 0.04061624649859944, 0.19467787114845939, 0.04481792717086835, 0.5168067226890757]",Child,Female,"양갈래 머리, 하늘색 가방, 흰색 상의, 회색 바지",low,8424240000000000000000,57120
