pid,code,duration,code_score,A/C,M/F,code_count,engagement_score,norm_engagement_score
0,"['Approach', 'None']","[2720, 2960]","[0, 4]",Child,Female,2,11840,0.8903568607740361
1,"['Approach', 'None']","[5520, 6320]","[0, 4]",Child,Female,2,25280,2.0966468011775685
2,"['Approach', 'None']","[9240, 15600]","[0, 4]",Child,Male,2,62400,5.4283047318158975
3,"['Approach', 'None']","[5920, 6360]","[0, 4]",Child,Male,2,25440,2.1110073957061823
5,"['Approach', 'None']","[4160, 7760]","[0, 4]",Child,Male,2,31040,2.613628204207654
8,"['Approach', 'None']","[8640, 16480]","[0, 4]",Adult,Female,2,65920,5.7442378114453945
9,"['Approach', 'None']","[6000, 6640]","[0, 4]",Adult,Female,2,26560,2.211531557406477
13,"['Approach', 'None']","[6880, 13520]","[0, 4]",Adult,Female,2,54080,4.681553816327996
16,"['Approach', 'None']","[5200, 20960]","[0, 4]",Adult,Female,2,83840,7.352624398650104
18,"['Approach', 'None']","[5040, 7440]","[0, 4]",Child,Male,2,29760,2.4987434479787463
19,"['Approach', 'None']","[9280, 19120]","[0, 4]",Child,Male,2,76480,6.692037050333884
20,"['Approach', 'None']","[3520, 14160]","[0, 4]",Child,Male,2,56640,4.911323328785812
21,"['Approach', 'None']","[6000, 960]","[0, 4]",Child,Male,2,3840,0.1723271343433618
22,"['Approach', 'None']","[8720, 17520]","[0, 4]",Child,Male,2,70080,6.117613269189345
23,"['Approach', 'None']","[12160, 5520]","[0, 4]",Adult,Female,2,22080,1.8094349106052992
24,"['Approach', 'Touch', 'None', 'Gesture']","[3120, 3280, 3840, 4960]","[0, 5, 4, 5]",Adult,Female,4,56560,4.904143031521505
25,"['Approach', 'None', 'None']","[8160, 34160, 15280]","[0, 4, 4]",Adult,Female,3,197760,17.577367703022905
26,"['Approach', 'None']","[2560, 15200]","[0, 4]",Adult,Female,2,60800,5.284698786529763
27,"['Approach', 'Touch', 'None']","[1280, 2960, 6080]","[0, 5, 4]",Adult,Female,3,39120,3.3388382279026354
28,"['Approach', 'None', 'Touch', 'None', 'None', 'Touch', 'None', 'Touch']","[40680, 18880, 4720, 39040, 9280, 7440, 2480, 6000]","[0, 4, 5, 4, 4, 5, 4, 5]",Adult,Female,8,369520,32.99346592948948
29,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[5920, 4720, 1280, 3600, 6720, 12000]","[0, 4, 5, 4, 5, 4]",Child,Male,6,121280,10.71300351834566
30,"['Approach', 'None', 'Touch', 'None']","[36400, 5440, 3920, 3200]","[0, 4, 5, 4]",Child,Female,4,54160,4.688734113592303
31,"['Approach', 'None']","[27120, 9600]","[0, 4]",Child,Male,2,38400,3.2742155525238745
33,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None']","[9760, 14480, 13840, 7520, 9520, 8800]","[0, 4, 5, 4, 5, 4]",Child,Female,6,240000,21.368564658576865
37,"['Avoid', 'None']","[7160, 13240]","[2, 4]",Child,Female,2,67280,5.866302864938609
38,"['Follow', 'None']","[8640, 4000]","[2, 4]",Child,Female,2,33280,2.814676527608243
39,"['Approach', 'Gesture', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None']","[8080, 1760, 2560, 2320, 3040, 16160, 5680, 4320, 19200, 10000, 7040, 8000]","[0, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 4]",Child,Female,12,359360,32.081568176922524
41,"['Avoid', 'None']","[7960, 10720]","[2, 4]",Child,Female,2,58800,5.105191354922094
44,"['Approach', 'Gesture', 'None']","[8480, 5160, 77440]","[0, 5, 4]",Adult,Male,3,335560,29.94542974079127
46,"['Avoid', 'None', 'Touch']","[7360, 7040, 7600]","[2, 4, 5]",Adult,Male,3,80880,7.086953399870755
47,"['Approach', 'None']","[10160, 45040]","[0, 4]",Adult,Female,2,180160,15.997702304875421
51,"['Avoid', 'None']","[12960, 23200]","[2, 4]",Adult,Female,2,118720,10.483234005887844
59,"['Approach', 'None']","[5200, 7600]","[0, 4]",Child,Male,2,30400,2.5561858260932
60,"['Approach', 'None']","[7680, 6480]","[0, 4]",Child,Male,2,25920,2.1540891792920225
61,"['Approach', 'Gesture']","[5360, 3360]","[0, 5]",Adult,Female,2,16800,1.335535291161054
62,"['Approach', 'Gesture']","[3520, 3120]","[0, 5]",Child,Male,2,15600,1.227830832196453
63,"['Approach', 'None']","[17520, 10720]","[0, 4]",Adult,Female,2,42880,3.676312199325052
64,"['Approach', 'Touch', 'Gesture']","[17840, 5120, 1200]","[0, 5, 5]",Child,Male,3,31600,2.6638902850578012
68,"['Approach', 'Gesture']","[3800, 2480]","[0, 5]",Child,Male,2,12400,0.9406189416241834
77,"['Approach', 'None']","[9280, 16000]","[0, 4]",Adult,Male,2,64000,5.571910677102032
78,"['Approach', 'None', 'Gesture', 'None']","[7680, 800, 3920, 3840]","[0, 4, 5, 4]",Adult,Female,4,38160,3.2526746607309547
79,"['Approach', 'None', 'Gesture', 'Gesture']","[9120, 6080, 2880, 3680]","[0, 4, 5, 5]",Child,Female,4,57120,4.954405112371652
80,"['Approach', 'Gesture', 'None', 'Gesture']","[4400, 2000, 6160, 4240]","[0, 5, 4, 5]",Child,Male,4,55840,4.839520356142744
81,"['Approach', 'Gesture', 'None']","[10560, 13080, 5360]","[0, 5, 4]",Child,Male,3,86840,7.621885546061607
82,"['Approach', 'Gesture']","[5760, 4960]","[0, 5]",Child,Male,2,24800,2.0535650175917284
84,"['Approach', 'None']","[3200, 1920]","[0, 4]",Child,Female,2,7680,0.5169814030300854
85,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[10000, 1600, 2320, 11120, 2560, 29520]","[0, 4, 5, 4, 5, 4]",Child,Female,6,193360,17.182451353486034
87,"['Approach', 'None', 'Gesture']","[9040, 5280, 4000]","[0, 4, 5]",Child,Female,3,41120,3.5183456595103038
88,"['Approach', 'None']","[7280, 47840]","[0, 4]",Child,Female,2,191360,17.002943921878366
90,"['Approach', 'None']","[4000, 4240]","[0, 4]",Adult,Female,2,16960,1.3498958856896675
91,"['Approach', 'None', 'Touch']","[9760, 3040, 10280]","[0, 4, 5]",Adult,Female,3,63560,5.532419042148344
92,"['Approach', 'None']","[5520, 19920]","[0, 4]",Adult,Female,2,79680,6.979248940906153
94,"['Approach', 'None']","[11280, 17120]","[0, 4]",Adult,Male,2,68480,5.974007323903209
96,"['Approach', 'None']","[7200, 24240]","[0, 4]",Adult,Female,2,96960,8.530193149996409
98,"['Approach', 'None']","[8880, 65440]","[0, 4]",Child,Male,2,261760,23.3216055144683
