pid,code,duration,code_score,A/C,M/F,code_count,engagement_score,norm_engagement_score
0,"['Approach', 'None']","[2720, 2960]","[3, 4]",Child,Female,2,20000,1.2538511141362756
1,"['Approach', 'None']","[5520, 6320]","[3, 4]",Child,Female,2,41840,3.2098588521888654
2,"['Approach', 'None']","[9240, 15600]","[3, 4]",Child,Male,2,90120,7.5338539800816795
3,"['Approach', 'None']","[5920, 6360]","[3, 4]",Child,Male,2,43200,3.331661531847818
5,"['Approach', 'None']","[4160, 7760]","[3, 4]",Child,Male,2,43520,3.3603209858852185
8,"['Approach', 'None']","[8640, 16480]","[3, 4]",Adult,Female,2,91840,7.687898545532708
9,"['Approach', 'None']","[6000, 6640]","[3, 4]",Adult,Female,2,44560,3.453464211506771
13,"['Approach', 'None']","[6880, 13520]","[3, 4]",Adult,Female,2,74720,6.154617754531777
16,"['Approach', 'None']","[5200, 20960]","[3, 4]",Adult,Female,2,99440,8.368560578920972
18,"['Approach', 'None']","[5040, 7440]","[3, 4]",Child,Male,2,44880,3.4821236655441714
19,"['Approach', 'None']","[9280, 19120]","[3, 4]",Child,Male,2,104320,8.80561725299133
20,"['Approach', 'None']","[3520, 14160]","[3, 4]",Child,Male,2,67200,5.481120584652863
21,"['Approach', 'None']","[6000, 960]","[3, 4]",Child,Male,2,21840,1.4186429748513292
22,"['Approach', 'None']","[8720, 17520]","[3, 4]",Child,Male,2,96240,8.081966038546966
23,"['Approach', 'None']","[12160, 5520]","[3, 4]",Adult,Female,2,58560,4.707315325643046
24,"['Approach', 'Touch', 'None', 'Gesture']","[3120, 3280, 3840, 4960]","[3, 5, 4, 5]",Adult,Female,4,65920,5.36648276850326
25,"['Approach', 'None', 'None']","[8160, 34160, 15280]","[3, 4, 4]",Adult,Female,3,222240,19.366626065773445
26,"['Approach', 'None']","[2560, 15200]","[3, 4]",Adult,Female,2,68480,5.595758400802465
27,"['Approach', 'Touch', 'None']","[1280, 2960, 6080]","[3, 5, 4]",Adult,Female,3,42960,3.3101669413197676
28,"['Approach', 'None', 'Touch', 'None', 'None', 'Touch', 'None', 'Touch']","[40680, 18880, 4720, 39040, 9280, 7440, 2480, 6000]","[3, 4, 5, 4, 4, 5, 4, 5]",Adult,Female,8,491560,43.487139070000715
29,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[5920, 4720, 1280, 3600, 6720, 12000]","[3, 4, 5, 4, 5, 4]",Child,Male,6,139040,11.915168016049295
30,"['Approach', 'None', 'Touch', 'None']","[36400, 5440, 3920, 3200]","[3, 4, 5, 4]",Child,Female,4,163360,14.093286522891738
31,"['Approach', 'None']","[27120, 9600]","[3, 4]",Child,Male,2,119760,10.18843591029591
33,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None']","[9760, 14480, 13840, 7520, 9520, 8800]","[3, 4, 5, 4, 5, 4]",Child,Female,6,269280,23.579565809271333
37,"['Avoid', 'None']","[7160, 13240]","[2, 4]",Child,Female,2,67280,5.4882854481622125
38,"['Follow', 'None']","[8640, 4000]","[2, 4]",Child,Female,2,33280,2.4432184566884
39,"['Approach', 'Gesture', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None']","[8080, 1760, 2560, 2320, 3040, 16160, 5680, 4320, 19200, 10000, 7040, 8000]","[3, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 4]",Child,Female,12,383600,33.8181557641327
41,"['Avoid', 'None']","[7960, 10720]","[2, 4]",Child,Female,2,58800,4.728809916171097
44,"['Approach', 'Gesture', 'None']","[8480, 5160, 77440]","[3, 5, 4]",Adult,Male,3,361000,31.794081822741276
46,"['Avoid', 'None', 'Touch']","[7360, 7040, 7600]","[2, 4, 5]",Adult,Male,3,80880,6.706312244751738
47,"['Approach', 'None']","[10160, 45040]","[3, 4]",Adult,Female,2,210640,18.327720856917676
51,"['Avoid', 'None']","[12960, 23200]","[2, 4]",Adult,Female,2,118720,10.095292684674357
59,"['Approach', 'None']","[5200, 7600]","[3, 4]",Child,Male,2,46000,3.5824317546750737
